Station,Line,Order of Points,Longitude,Latitude,Traffic,Color,Point Color
Hospital 12 de Octubre,Linea 3,13,"-3,695821195","40,37540139",2.960.698,#ffce36,#ffce36
San Fermín-Orcasur,Linea 3,14,"-3,694383531","40,3697615",3.514.558,#ffce36,#ffce36
Ciudad de los Ángeles,Linea 3,15,"-3,693661806","40,35972844",4.318.632,#ffce36,#ffce36
Villaverde Bajo-Cruce,Linea 3,16,"-3,692524549","40,35094759",5.896.901,#ffce36,#ffce36
San Cristóbal,Linea 3,17,"-3,692796277","40,34142482",2.662.348,#ffce36,#ffce36
Villaverde Alto,Linea 3,18,"-3,711905936","40,34158254",4.325.654,#ffce36,#ffce36
Argüelles,Linea 4,1,"-3,716055779","40,43059028",14.590.179,#a9572d,#FFFFFF
San Bernardo,Linea 4,2,"-3,706032439","40,42986592",4.354.814,#a9572d,#FFFFFF
Bilbao,Linea 4,3,"-3,702228731","40,42903458",8.467.553,#a9572d,#FFFFFF
Alonso Martínez,Linea 4,4,"-3,695911679","40,427781",18.832.974,#a9572d,#FFFFFF
Colón,Linea 4,5,"-3,690976414","40,42542884",1.301.327,#a9572d,#a9572d
Serrano,Linea 4,6,"-3,686606943","40,42541243",3.148.887,#a9572d,#a9572d
Velázquez,Linea 4,7,"-3,682916224","40,42515107",2.662.973,#a9572d,#a9572d
Goya,Linea 4,8,"-3,675856618","40,42457569",11.522.464,#a9572d,#FFFFFF
Lista,Linea 4,9,"-3,675363123","40,42916929",1.967.919,#a9572d,#a9572d
Diego de León,Linea 4,10,"-3,675073148","40,4346047",14.502.699,#a9572d,#FFFFFF
Avenida de América,Linea 4,11,"-3,676670475","40,43809255",35.284.265,#a9572d,#FFFFFF
Prosperidad,Linea 4,12,"-3,67494475","40,44420516",2.743.690,#a9572d,#a9572d
Alfonso XIII,Linea 4,13,"-3,66779438","40,44823416",3.454.694,#a9572d,#a9572d
Avenida de la Paz,Linea 4,14,"-3,662086639","40,45339396",1.338.149,#a9572d,#a9572d
Arturo Soria,Linea 4,15,"-3,656293067","40,4558431",2.531.498,#a9572d,#a9572d
Esperanza,Linea 4,16,"-3,64587343","40,45959827",1.929.276,#a9572d,#a9572d
Canillas,Linea 4,17,"-3,635445002","40,46433275",3.003.992,#a9572d,#a9572d
Mar de Cristal,Linea 4,18,"-3,638170848","40,4693649",6.172.476,#a9572d,#FFFFFF
San Lorenzo,Linea 4,19,"-3,639426829","40,47444909",1.813.279,#a9572d,#a9572d
Parque de Santa María,Linea 4,20,"-3,645263316","40,47719126",1.543.689,#a9572d,#a9572d
Hortaleza,Linea 4,21,"-3,652516009","40,475102",1.775.639,#a9572d,#a9572d
Manoteras,Linea 4,22,"-3,662953756","40,47667604",1.318.832,#a9572d,#a9572d
Pinar de Chamartín,Linea 4,23,"-3,66706111","40,48013631",6.222.074,#a9572d,#a9572d
Casa de Campo,Linea 5,1,"-3,76100355","40,40322022",7.956.621,#76c447,#FFFFFF
Campamento,Linea 5,2,"-3,768217204","40,39465453",2.899.486,#76c447,#76c447
Empalme,Linea 5,3,"-3,765832629","40,39089574",1.775.111,#76c447,#76c447
Aluche,Linea 5,4,"-3,761026111","40,38580469",7.710.593,#76c447,#76c447
Eugenia de Montijo,Linea 5,5,"-3,750646908","40,38472658",1.930.562,#76c447,#76c447
Carabanchel,Linea 5,6,"-3,744896251","40,38783197",3.436.762,#76c447,#76c447
Vista Alegre,Linea 5,7,"-3,739959292","40,38869168",3.515.983,#76c447,#76c447
Oporto,Linea 5,8,"-3,731230185","40,3883975",15.822.483,#76c447,#FFFFFF
Urgel,Linea 5,9,"-3,724476647","40,39301052",4.128.094,#76c447,#76c447
Marqués de Vadillo,Linea 5,10,"-3,716255149","40,39749269",4.880.497,#76c447,#76c447
Pirámides,Linea 5,11,"-3,710925594","40,40251939",2.216.934,#76c447,#76c447
Acacias,Linea 5,12,"-3,706548229","40,40374489",2.999.357,#76c447,#76c447
Puerta de Toledo,Linea 5,13,"-3,710904136","40,40676771",2.404.201,#76c447,#76c447
La Latina,Linea 5,14,"-3,708350673","40,41134253",4.441.399,#76c447,#76c447
Ópera,Linea 5,15,"-3,709330457","40,41823746",14.850.637,#76c447,#FFFFFF
Callao,Linea 5,16,"-3,705670266","40,42026238",15.303.823,#76c447,#FFFFFF
Gran Vía,Linea 5,17,"-3,701613041","40,41987424",7.180.340,#76c447,#FFFFFF
Chueca,Linea 5,18,"-3,69764598","40,4225677",3.039.046,#76c447,#76c447
